coach,total_points,athletes_count,tournaments,medal_gold,medal_silver,medal_bronze
Пономарев В.А.,8257,56,157,44,37,24
Матвеев К.О.,4903,22,72,10,6,19
Налбандян Г.А.,4130,28,69,9,17,12
Боярчук А.А.,3327,33,78,18,15,11
Павлова А.Д.,2884,28,52,11,4,5
Попова И.К.,2579,28,66,11,15,10
Шкоркин Е.Ю.,2540,20,39,9,9,10
Ланин Д.А.,2100,25,48,5,9,18
Абдуразаков А.З.,1897,34,42,4,6,17
Ожерельев Р.А.,1856,22,43,4,14,13
Винокуров И.Ю.,1401,21,38,9,5,4
Арутюнян Э.О.,1353,8,22,10,4,2
Степанян М.П.,1240,12,28,2,7,9
Ким Р.И.,1215,12,19,6,1,5
Велиев Г.М.,1093,17,26,2,9,5
Созин М.Н.,304,3,4,2,0,2
Кузнецов А.В.,254,6,7,3,0,0
Плужник Е.М.,170,1,3,0,0,1
Чигрина Ю.А.,102,4,5,0,0,1
Лясковец Л.Д.,90,1,1,0,0,1
Велицян Н.С.,77,4,4,0,0,1
